,1
"Fri, Apr 01 1974 00:00:00 GMT",1
"12,12 12 07 12:24:10 GMT",1
Thu May 11 20:47:17 2000 GMT,1
Fri Nov 16 03:58:06 2001 GMT,1
Sat Feb  8 12:37:23 2003 GMT,1
Thu Feb 22 19:38:39 2001 GMT,1
{ts '2007-12-11 19:26:11'},1
Thu Feb 19 00:59:40 2004 GMT,1
"Tue, 11 DEC 2007 23:21:58 GMT",1
"Wed, 12 Dec 2007 00:25:23GMT",1
Mon May 13 10:02:36 2002 GMT,1
Thu Feb 24 01:16:44 2000 GMT,1
12.12.2007,1
Mon May 14 04:32:21 2001 GMT,1
Sat May 12 23:42:27 2001 GMT,1
128418699474330000,1
Wed May  3 22:28:20 2000 GMT,1
Thu Sep 11 10:01:14 2003 GMT,1
Wed 12 Dec 2007 00:16:47 GMT,2
Tue Jul 30 18:40:30 2002 GMT,1
"Fri, Jan 1 1999 00:00:00 GMT",4
Thu Jun 15 12:34:19 2000 GMT,1
Wed Jun 27 12:54:33 2001 GMT,1
Sat Nov  9 05:19:16 2002 GMT,1
Sat Nov 25 05:02:40 2000 GMT,1
Sun Jun 18 19:10:46 2000 GMT,1
"Wed, 12 Dec 2007 00:25:41GMT",1
"Wed, 12-Dec-2007 24:25:18 GMT",1
Sun Feb 26 22:29:31 2006 GMT,1
Tue Aug  2 16:32:29 2005 GMT,1
Tue Jun  3 06:04:04 2003 GMT,1
Sat Apr 24 21:07:50 2004 GMT,1
Sun Jul 13 11:48:28 2003 GMT,1
Tue May 11 14:30:24 2004 GMT,1
Thu Dec 14 06:49:36 2000 GMT,1
0,40
"Tue, 11 Dec 2007 17:29:58 +0300 GMT",1
Mon May 29 17:26:47 2000 GMT,1
Sunday 15-May-1994 12:00:00 GMT,1
Fri Oct 19 15:51:59 2007 GMT,1
"Wed, 12-Dec-2007 24:24:43 GMT",1
"Wed, 12 Dec 2007 00:25:07GMT",1
Fri Feb 22 22:42:43 2002 GMT,1
Thu Jun  7 03:08:51 2007 GMT,1
Mon Sep 10 12:29:30 2007 GMT,1
Wed Apr  7 23:36:25 2004 GMT,1
Wed Nov  7 22:40:16 2007 GMT,1
Thu Jun 22 02:22:23 2000 GMT,1
Sun Jul 24 17:55:17 2005 GMT,1
Valid (asctime),2
Tue Oct 16 19:42:47 2007 GMT,1
Wed Dec 12 00:22:55 2007 GMT,3
{ts '2007-12-11 18:25:47'},1
"Wed, 12-Dec-2007 24:22:48 GMT",1
Sat Sep  1 22:42:58 2007 GMT,1
Wed Jul 18 09:45:52 2007 GMT,1
Sun Mar  3 23:52:59 2002 GMT,1
Fri Nov 30 13:35:39 2007 GMT,1
Tue Dec 11 16:37:50 2007 GMT,1
-1;,1
Tue Dec 11 01:45:16 2007 GMT,1
Wed Aug 30 22:58:09 2006 GMT,1
Mon Jun 25 18:41:19 2007 GMT,1
Sun Dec 22 12:40:14 2002 GMT,1
Fri Oct 12 23:37:18 2001 GMT,1
{ts '2007-12-11 19:26:30'},1
Wed Feb 20 18:26:49 2002 GMT,1
Sun Apr 28 05:26:09 2002 GMT,1
12.12.2007 2:25:36,1
Fri Nov 16 01:11:08 2007 GMT,1
"Fri, Jun 12 1981 08:20:00 GMT",1
Sat Nov  4 09:50:05 2000 GMT,1
"Wed, 12-Dec-2007 00:30:14 GMT",1
"Mi, 12 Dez 2007 00:25:34 GMT",1
"Wed, 12-Dec-2007 00:26:09 GMT",1
"Wed, 12-Dec-2007 24:25:03 GMT",1
-1,67
Wed Sep  5 14:09:38 2001 GMT,1
Thu Jul  4 09:12:19 2002 GMT,1
Tue Dec 23 13:03:16 2003 GMT,1
Valid (RFC 822),26154
{ts '2007-12-12 01:24:44'},1
