,8
eaccelerator-1351692760,1
5324bfe837728477f89cfb7d983820ed,1
PUB1197419160,1
9a2289b94c8e112ffafb9b55947b48e,1
z-1g3s18hn-97hp-1gqnyiso13-k01hgzde10,1
cd62bd32ab1c41883d5d1bfac81bac4c,1
-nulo-,1
80d83a43b2c97a19f5bfcf1d63aaab2,1
dd4ae2ad389dbfd07a6368195bf67e3,1
d6ee8b54487c3cb997ca2dfa4aa8604d1197405049,1
a5fc223515c5aa4e6ee0408b80e87ff9,1
u-1g3s18hn-13np-1b7pyirc0m-2af1p2zdcp0,1
8dcb0c531a0f2997dab7f4b9669c9c50,1
2N5o/t+2YDW2WBcoDAUm95Sol/M,1
aa5f0107517db4371be051e81d838770,1
fcf53cc192e4d81fd78360f34173b957,1
Valid (weak),17
99dd0b7976bfecce41ee307b5ff4cd091187119998,1
1197419169-600:ffadult_who=UmFuZG9tSVYt/GWHInpiXx8J19FpLPfjHmjyjVt3_RdujlJrew2jpbTow7kP1BJKVwibghzdPywXcUpv91PSV3JSGXiFxUxFlYPXSXunmd4NpT7_q6VrwwEJbd7To33/0RDSncqCq3p1gIOnyOEvti8a0YyxVexkAS/cqPpAmLJTwaUcNGvcUA/LXG7jrdoXPaK7nvAqqnaouXTfwbenag--,1
5150fae713f4306aa655016f1c32d6c7,1
49a774f7797266451e7b4bbca61348bf,1
eaccelerator-1431878999,1
1029,1
a2f4e6d2f5146c0ff0484333e92e6190,1
59584b8bdef9e2e442f03cf8945a7229,1
Valid (strong),7962
3c36771c2957e19be2403a16a734bb13,1
